ID,Draw Date,Draw Time,Best Birth Date,Best Birth Time,Best Location,Matches,Match %,Star Lord,Sublord,Location Lord
"1","2002-04-22","21:00","1965-01-15","03:00","Bangalore",13/20,65.0%,Jupiter,Mercury,Sun
"2","2002-04-23","21:00","1965-01-01","00:00","Chennai",10/20,50.0%,Venus,Sun,Rahu
